age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,y
30,technician,single,5.0,no,no,telephone,5,1,480,1,0,nonexistent,0
41,services,married,4.0,yes,yes,telephone,5,1,146,3,0,nonexistent,0
38,blue-collar,married,5.0,no,no,telephone,5,1,393,1,0,nonexistent,0
37,entrepreneur,single,6.0,yes,no,telephone,5,1,744,2,0,nonexistent,0
34,admin.,single,6.0,yes,no,telephone,5,1,593,2,0,nonexistent,0
33,technician,married,3.0,yes,no,telephone,5,1,215,1,0,nonexistent,0
36,blue-collar,single,3.0,yes,no,telephone,5,1,379,2,0,nonexistent,0
33,technician,married,3.0,yes,no,telephone,5,1,315,1,0,nonexistent,0
36,technician,married,4.0,yes,no,telephone,5,1,162,1,0,nonexistent,0
33,technician,married,3.0,no,no,telephone,5,1,493,1,0,nonexistent,0
28,student,single,6.0,yes,no,telephone,5,1,225,1,0,nonexistent,0
28,student,single,6.0,yes,no,telephone,5,1,208,1,0,nonexistent,0
38,technician,married,5.0,no,no,telephone,5,1,80,4,0,nonexistent,0
50,management,divorced,5.0,no,no,telephone,5,1,39,3,0,nonexistent,0
32,management,married,4.0,yes,no,telephone,5,1,132,1,0,nonexistent,0
45,blue-collar,married,1.0,no,no,telephone,5,1,101,1,0,nonexistent,0
36,admin.,married,6.0,no,no,telephone,5,1,188,1,0,nonexistent,0
30,blue-collar,single,3.0,,,telephone,5,1,386,2,0,nonexistent,0
41,blue-collar,married,3.0,no,no,telephone,5,1,457,4,0,nonexistent,0
34,blue-collar,single,2.0,yes,no,telephone,5,1,891,1,0,nonexistent,0
57,retired,single,4.0,no,no,telephone,5,1,53,1,0,nonexistent,0
50,blue-collar,married,4.0,no,no,telephone,5,1,326,1,0,nonexistent,0
57,retired,single,4.0,yes,yes,telephone,5,1,507,1,0,nonexistent,0
32,blue-collar,married,1.0,no,no,telephone,5,1,1083,2,0,nonexistent,0
44,blue-collar,married,1.0,yes,yes,telephone,5,1,123,2,0,nonexistent,0
57,retired,single,4.0,,,telephone,5,1,1266,1,0,nonexistent,0
46,technician,married,3.0,no,no,telephone,5,1,171,6,0,nonexistent,0
44,services,married,1.0,yes,no,telephone,5,1,160,4,0,nonexistent,0
32,blue-collar,single,3.0,no,no,telephone,5,1,178,2,0,nonexistent,0
41,entrepreneur,married,2.0,no,no,telephone,5,1,156,3,0,nonexistent,0
38,unemployed,married,3.0,no,no,telephone,5,1,200,2,0,nonexistent,0
33,technician,married,3.0,no,no,telephone,5,1,154,2,0,nonexistent,0
30,blue-collar,single,3.0,yes,yes,telephone,5,1,163,4,0,nonexistent,0
37,blue-collar,divorced,1.0,yes,no,telephone,5,1,391,1,0,nonexistent,0
51,blue-collar,married,3.0,no,no,telephone,5,1,470,1,0,nonexistent,0
52,management,married,6.0,no,no,telephone,5,1,268,4,0,nonexistent,0
39,blue-collar,married,3.0,no,no,telephone,5,1,793,5,0,nonexistent,0
50,management,married,3.0,no,no,telephone,5,1,219,4,0,nonexistent,0
53,retired,divorced,1.0,no,no,telephone,5,1,460,1,0,nonexistent,0
51,technician,married,5.0,yes,yes,telephone,5,1,246,1,0,nonexistent,0
40,admin.,single,6.0,yes,no,telephone,5,1,194,3,0,nonexistent,0
55,blue-collar,married,1.0,yes,no,telephone,5,1,413,1,0,nonexistent,0
42,unemployed,married,1.0,yes,no,telephone,5,1,574,6,0,nonexistent,0
47,admin.,divorced,6.0,yes,no,telephone,5,1,256,4,0,nonexistent,0
33,blue-collar,married,3.0,yes,no,telephone,5,1,88,2,0,nonexistent,0
37,self-employed,divorced,6.0,yes,yes,telephone,5,1,146,1,0,nonexistent,0
37,self-employed,divorced,6.0,yes,no,telephone,5,1,596,1,0,nonexistent,0
45,blue-collar,married,1.0,yes,no,telephone,5,1,170,2,0,nonexistent,0
30,admin.,single,4.0,,,telephone,5,1,139,1,0,nonexistent,0
30,admin.,single,4.0,no,no,telephone,5,1,577,1,0,nonexistent,0
38,blue-collar,married,2.0,no,no,telephone,5,1,177,3,0,nonexistent,0
31,services,married,4.0,yes,no,telephone,5,1,335,1,0,nonexistent,0
48,blue-collar,married,3.0,yes,no,telephone,5,1,262,2,0,nonexistent,0
29,admin.,single,4.0,yes,no,telephone,5,1,115,1,0,nonexistent,0
44,blue-collar,married,3.0,yes,no,telephone,5,1,136,4,0,nonexistent,0
38,blue-collar,single,3.0,yes,no,telephone,5,1,289,3,0,nonexistent,0
48,blue-collar,married,3.0,yes,no,telephone,5,1,529,2,0,nonexistent,0
41,blue-collar,married,1.0,yes,no,telephone,5,1,247,2,0,nonexistent,0
32,services,married,4.0,,,telephone,5,1,72,2,0,nonexistent,0
56,admin.,married,4.0,yes,no,telephone,5,1,166,2,0,nonexistent,0
39,technician,married,6.0,yes,no,telephone,5,1,320,3,0,nonexistent,0
33,technician,married,5.0,yes,no,telephone,5,1,307,4,0,nonexistent,0
31,admin.,married,4.0,no,no,telephone,5,1,220,3,0,nonexistent,0
54,retired,divorced,5.0,no,no,telephone,5,1,241,3,0,nonexistent,0
26,services,divorced,5.0,no,no,telephone,5,1,241,1,0,nonexistent,0
54,blue-collar,married,5.0,yes,yes,telephone,5,1,198,3,0,nonexistent,0
45,management,married,5.0,no,no,telephone,5,1,98,2,0,nonexistent,0
41,blue-collar,divorced,2.0,yes,no,telephone,5,1,391,2,0,nonexistent,0
35,admin.,single,6.0,no,yes,telephone,5,1,126,2,0,nonexistent,0
28,admin.,married,4.0,yes,no,telephone,5,1,55,2,0,nonexistent,0
34,self-employed,married,6.0,yes,yes,telephone,5,1,86,4,0,nonexistent,0
57,retired,single,4.0,no,no,telephone,5,1,166,2,0,nonexistent,0
35,admin.,married,4.0,no,no,telephone,5,1,66,4,0,nonexistent,0
39,technician,married,2.0,no,yes,telephone,5,1,155,3,0,nonexistent,0
30,services,married,5.0,no,no,telephone,5,1,311,3,0,nonexistent,0
35,blue-collar,married,3.0,no,no,telephone,5,1,63,5,0,nonexistent,0
58,management,married,6.0,no,no,telephone,5,1,236,10,0,nonexistent,0
34,blue-collar,married,3.0,no,yes,telephone,5,1,92,3,0,nonexistent,0
29,management,single,6.0,yes,no,telephone,5,1,253,2,0,nonexistent,0
37,admin.,married,1.0,yes,no,telephone,5,1,65,1,0,nonexistent,0
25,blue-collar,married,3.0,yes,no,telephone,5,1,41,1,0,nonexistent,0
31,blue-collar,married,3.0,,,telephone,5,1,163,2,0,nonexistent,0
56,admin.,married,3.0,no,no,telephone,5,1,10,11,0,nonexistent,0
39,services,married,5.0,no,no,telephone,5,1,221,1,0,nonexistent,0
27,blue-collar,married,3.0,no,no,telephone,5,1,484,3,0,nonexistent,0
52,management,married,6.0,no,no,telephone,5,1,467,5,0,nonexistent,0
39,technician,married,6.0,yes,no,telephone,5,1,241,3,0,nonexistent,0
34,management,single,6.0,no,no,telephone,5,1,248,2,0,nonexistent,0
47,services,divorced,4.0,no,no,telephone,5,1,198,3,0,nonexistent,0
31,blue-collar,married,2.0,yes,no,telephone,5,1,212,2,0,nonexistent,0
33,admin.,married,4.0,yes,yes,telephone,5,1,115,4,0,nonexistent,0
36,blue-collar,married,2.0,no,no,telephone,5,1,58,7,0,nonexistent,0
31,services,single,4.0,,,telephone,5,1,456,6,0,nonexistent,0
36,blue-collar,married,2.0,yes,no,telephone,5,1,145,4,0,nonexistent,0
57,blue-collar,married,1.0,yes,no,telephone,5,1,300,3,0,nonexistent,0
41,management,married,4.0,no,no,telephone,5,1,264,2,0,nonexistent,0
40,admin.,married,3.0,yes,yes,telephone,5,1,184,4,0,nonexistent,0
40,services,married,4.0,yes,no,telephone,5,1,177,4,0,nonexistent,0
29,blue-collar,married,3.0,no,no,telephone,5,1,65,5,0,nonexistent,0
39,blue-collar,married,3.0,no,no,telephone,5,1,299,5,0,nonexistent,0
31,blue-collar,single,4.0,yes,no,telephone,5,1,93,4,0,nonexistent,0
50,blue-collar,married,1.0,yes,no,telephone,5,1,22,5,0,nonexistent,0
47,blue-collar,married,1.0,,,telephone,5,1,170,8,0,nonexistent,0
37,admin.,married,4.160934688394962,no,no,telephone,5,1,89,3,0,nonexistent,0
37,admin.,married,4.0,yes,no,telephone,5,1,166,4,0,nonexistent,0
32,unemployed,married,3.0,,,telephone,5,1,128,3,0,nonexistent,0
56,admin.,married,4.0,yes,yes,telephone,5,1,197,3,0,nonexistent,0
36,services,married,4.0,yes,no,telephone,5,1,395,3,0,nonexistent,0
51,technician,married,5.0,yes,no,telephone,5,1,220,2,0,nonexistent,0
47,blue-collar,divorced,1.0,no,yes,telephone,5,1,298,2,0,nonexistent,0
54,technician,married,6.0,no,yes,telephone,5,1,123,7,0,nonexistent,0
41,blue-collar,married,1.0,no,no,telephone,5,1,334,7,0,nonexistent,0
44,blue-collar,married,4.0,yes,no,telephone,5,1,73,3,0,nonexistent,0
41,admin.,single,6.0,yes,yes,telephone,5,1,186,6,0,nonexistent,0
57,services,divorced,4.0,no,no,telephone,5,1,78,3,0,nonexistent,0
44,blue-collar,married,4.0,no,no,telephone,5,1,13,5,0,nonexistent,0
42,admin.,single,4.160934688394962,no,no,telephone,5,1,51,9,0,nonexistent,0
46,admin.,divorced,6.0,no,no,telephone,5,1,303,3,0,nonexistent,0
35,services,married,4.0,no,no,telephone,5,1,159,3,0,nonexistent,0
54,,married,4.160934688394962,no,no,telephone,5,1,103,8,0,nonexistent,0
35,admin.,single,1.0,no,no,telephone,5,1,95,3,0,nonexistent,0
37,technician,married,3.0,yes,no,telephone,5,1,46,3,0,nonexistent,0
52,housemaid,married,1.0,yes,no,telephone,5,1,84,3,0,nonexistent,0
41,admin.,married,3.0,yes,no,telephone,5,1,344,3,0,nonexistent,0
31,technician,married,5.0,no,no,telephone,5,1,157,5,0,nonexistent,0
40,blue-collar,divorced,2.0,no,no,telephone,5,1,162,4,0,nonexistent,0
45,entrepreneur,married,3.0,no,no,telephone,5,1,249,4,0,nonexistent,0
47,management,married,6.0,no,no,telephone,5,1,24,12,0,nonexistent,0
39,admin.,married,4.0,,,telephone,5,1,185,4,0,nonexistent,0
45,admin.,divorced,6.0,yes,no,telephone,5,1,212,5,0,nonexistent,0
26,admin.,single,4.0,yes,no,telephone,5,1,195,2,0,nonexistent,0
36,blue-collar,single,1.0,yes,no,telephone,5,1,143,4,0,nonexistent,0
33,blue-collar,married,3.0,no,no,telephone,5,1,68,2,0,nonexistent,0
38,management,married,6.0,yes,no,telephone,5,1,274,6,0,nonexistent,0
50,blue-collar,married,1.0,yes,no,telephone,5,1,152,5,0,nonexistent,0
37,blue-collar,single,4.0,no,no,telephone,5,1,325,4,0,nonexistent,0
39,blue-collar,married,3.0,no,no,telephone,5,1,249,4,0,nonexistent,0
36,admin.,single,4.0,yes,yes,telephone,5,1,111,4,0,nonexistent,0
35,admin.,married,4.0,yes,no,telephone,5,1,81,4,0,nonexistent,0
31,blue-collar,married,3.0,yes,no,telephone,5,1,181,4,0,nonexistent,0
31,unemployed,single,5.0,no,no,telephone,5,2,92,2,0,nonexistent,0
32,blue-collar,married,3.0,no,no,telephone,5,2,85,2,0,nonexistent,0
51,entrepreneur,divorced,4.160934688394962,yes,no,telephone,5,2,141,6,0,nonexistent,0
39,blue-collar,divorced,3.0,yes,no,telephone,5,2,182,6,0,nonexistent,0
25,services,married,4.0,yes,no,telephone,5,2,530,7,0,nonexistent,0
40,housemaid,single,6.0,no,no,telephone,5,2,160,3,0,nonexistent,0
28,services,married,4.0,yes,no,telephone,5,2,176,4,0,nonexistent,0
29,management,married,6.0,no,no,telephone,5,2,134,2,0,nonexistent,0
57,blue-collar,married,5.0,,,telephone,5,2,514,5,0,nonexistent,0
53,blue-collar,married,3.0,no,no,telephone,5,2,181,5,0,nonexistent,0
39,blue-collar,married,3.0,no,no,telephone,5,2,504,4,0,nonexistent,1
60,technician,divorced,5.0,yes,no,telephone,5,2,160,3,0,nonexistent,0
42,blue-collar,married,1.0,no,no,telephone,5,2,267,3,0,nonexistent,0
30,admin.,married,6.0,yes,no,telephone,5,2,907,2,0,nonexistent,0
34,technician,married,6.0,no,no,telephone,5,2,200,1,0,nonexistent,0
43,technician,single,5.0,no,no,telephone,5,2,139,1,0,nonexistent,0
38,blue-collar,married,2.0,yes,no,telephone,5,2,147,1,0,nonexistent,0
35,admin.,single,6.0,yes,no,telephone,5,2,153,1,0,nonexistent,0
26,admin.,single,4.0,no,no,telephone,5,2,109,1,0,nonexistent,0
31,blue-collar,married,3.0,yes,no,telephone,5,2,97,2,0,nonexistent,0
55,unemployed,married,1.0,yes,no,telephone,5,2,164,1,0,nonexistent,0
59,housemaid,married,1.0,no,yes,telephone,5,2,70,1,0,nonexistent,0
28,blue-collar,single,3.0,,,telephone,5,2,71,1,0,nonexistent,0
48,blue-collar,married,3.0,yes,no,telephone,5,2,723,1,0,nonexistent,0
37,services,married,3.0,yes,no,telephone,5,2,518,1,0,nonexistent,0
35,blue-collar,married,2.0,no,no,telephone,5,2,147,1,0,nonexistent,0
30,admin.,single,4.0,yes,yes,telephone,5,2,101,1,0,nonexistent,0
30,admin.,single,4.0,no,no,telephone,5,2,142,1,0,nonexistent,0
32,admin.,single,6.0,no,no,telephone,5,2,1346,1,0,nonexistent,1
53,admin.,married,4.0,yes,no,telephone,5,2,520,1,0,nonexistent,0
34,blue-collar,married,1.0,no,no,telephone,5,2,611,2,0,nonexistent,0
51,unemployed,married,3.0,yes,no,telephone,5,2,66,1,0,nonexistent,0
43,admin.,married,4.0,yes,no,telephone,5,2,135,3,0,nonexistent,0
54,retired,divorced,1.0,yes,no,telephone,5,2,276,2,0,nonexistent,0
45,services,single,5.0,no,no,telephone,5,2,449,1,0,nonexistent,0
46,management,single,6.0,no,no,telephone,5,2,98,1,0,nonexistent,0
57,admin.,divorced,6.0,yes,no,telephone,5,2,105,1,0,nonexistent,0
34,admin.,divorced,6.0,no,no,telephone,5,2,382,2,0,nonexistent,0
33,housemaid,married,1.0,no,no,telephone,5,2,213,1,0,nonexistent,0
48,admin.,married,4.0,yes,no,telephone,5,2,116,1,0,nonexistent,0
37,,married,6.0,no,yes,telephone,5,2,249,3,0,nonexistent,0
33,self-employed,married,6.0,yes,no,telephone,5,2,50,1,0,nonexistent,0
36,admin.,single,6.0,no,yes,telephone,5,2,138,1,0,nonexistent,0
48,,married,1.0,no,no,telephone,5,2,375,1,0,nonexistent,0
28,blue-collar,single,3.0,yes,no,telephone,5,2,49,1,0,nonexistent,0
30,admin.,single,6.0,yes,no,telephone,5,2,178,2,0,nonexistent,0
31,management,single,6.0,no,no,telephone,5,2,169,1,0,nonexistent,0
51,unemployed,married,3.0,no,no,telephone,5,2,1386,1,0,nonexistent,0
26,admin.,married,4.0,no,no,telephone,5,2,155,1,0,nonexistent,0
40,blue-collar,married,2.0,no,no,telephone,5,2,120,1,0,nonexistent,0
40,blue-collar,married,2.0,yes,no,telephone,5,2,203,1,0,nonexistent,0
51,blue-collar,divorced,1.0,no,no,telephone,5,2,244,1,0,nonexistent,0
30,blue-collar,single,3.0,yes,no,telephone,5,2,428,1,0,nonexistent,0
34,entrepreneur,married,5.0,yes,no,telephone,5,2,53,1,0,nonexistent,0
51,blue-collar,divorced,1.0,no,no,telephone,5,2,360,1,0,nonexistent,0
39,admin.,single,4.0,no,no,telephone,5,2,215,1,0,nonexistent,0
57,blue-collar,married,1.0,no,yes,telephone,5,2,500,2,0,nonexistent,0
33,technician,divorced,4.0,no,no,telephone,5,2,207,1,0,nonexistent,0
33,management,married,1.0,yes,yes,telephone,5,2,568,4,0,nonexistent,1
22,blue-collar,single,2.0,,,telephone,5,2,270,1,0,nonexistent,0
38,admin.,married,6.0,,,telephone,5,2,154,1,0,nonexistent,0
56,technician,married,1.0,,,telephone,5,2,272,1,0,nonexistent,0
45,services,married,4.0,no,no,telephone,5,2,229,1,0,nonexistent,0
50,technician,married,5.0,no,no,telephone,5,2,108,1,0,nonexistent,0
28,admin.,married,6.0,yes,no,telephone,5,2,210,1,0,nonexistent,0
53,technician,married,5.0,yes,no,telephone,5,2,383,1,0,nonexistent,0
39,self-employed,married,1.0,yes,no,telephone,5,2,3366,3,0,nonexistent,0
33,technician,divorced,5.0,no,no,telephone,5,2,259,6,0,nonexistent,0
38,management,married,3.0,yes,no,telephone,5,2,1000,1,0,nonexistent,1
35,admin.,single,4.0,yes,yes,telephone,5,2,618,1,0,nonexistent,1
28,blue-collar,married,3.0,no,no,telephone,5,2,237,1,0,nonexistent,0
30,technician,single,6.0,no,no,telephone,5,2,106,1,0,nonexistent,0
37,admin.,single,6.0,no,no,telephone,5,2,351,1,0,nonexistent,0
42,housemaid,married,4.0,yes,no,telephone,5,2,218,1,0,nonexistent,0
35,services,single,4.0,no,yes,telephone,5,2,198,1,0,nonexistent,0
48,admin.,divorced,4.0,no,yes,telephone,5,2,284,2,0,nonexistent,0
41,technician,married,5.0,yes,no,telephone,5,2,190,1,0,nonexistent,0
26,blue-collar,married,3.0,no,no,telephone,5,2,295,1,0,nonexistent,0
26,blue-collar,single,4.0,no,no,telephone,5,2,106,1,0,nonexistent,0
47,blue-collar,married,1.0,no,yes,telephone,5,2,93,1,0,nonexistent,0
58,retired,married,4.160934688394962,,,telephone,5,2,174,1,0,nonexistent,0
58,retired,married,4.160934688394962,,,telephone,5,2,124,1,0,nonexistent,0
54,management,divorced,6.0,yes,no,telephone,5,2,62,3,0,nonexistent,0
38,blue-collar,single,3.0,yes,no,telephone,5,2,2231,1,0,nonexistent,1
40,technician,divorced,6.0,yes,no,telephone,5,2,217,1,0,nonexistent,0
35,admin.,married,6.0,yes,no,telephone,5,2,343,1,0,nonexistent,0
35,blue-collar,married,3.0,no,no,telephone,5,2,227,4,0,nonexistent,0
34,admin.,married,5.0,yes,no,telephone,5,2,248,2,0,nonexistent,0
28,technician,married,4.0,no,no,telephone,5,2,180,1,0,nonexistent,0
36,services,single,3.0,yes,yes,telephone,5,2,117,1,0,nonexistent,0
42,admin.,single,4.0,no,no,telephone,5,2,205,1,0,nonexistent,0
37,technician,single,6.0,yes,no,telephone,5,2,370,1,0,nonexistent,0
45,services,married,3.0,no,no,telephone,5,2,427,1,0,nonexistent,0
48,self-employed,married,3.0,yes,no,telephone,5,2,289,2,0,nonexistent,0
53,technician,married,5.0,yes,no,telephone,5,2,170,1,0,nonexistent,0
42,technician,married,2.0,yes,no,telephone,5,2,705,1,0,nonexistent,0
53,technician,married,5.0,yes,no,telephone,5,2,198,1,0,nonexistent,0
53,technician,married,5.0,yes,yes,telephone,5,2,247,1,0,nonexistent,0
33,blue-collar,divorced,2.0,yes,no,telephone,5,2,226,1,0,nonexistent,0
30,,single,6.0,no,no,telephone,5,2,213,1,0,nonexistent,0
34,admin.,married,6.0,no,no,telephone,5,2,174,1,0,nonexistent,0
48,technician,married,4.0,no,no,telephone,5,2,166,1,0,nonexistent,0
34,admin.,married,6.0,no,no,telephone,5,2,373,1,0,nonexistent,0
49,services,divorced,3.0,yes,no,telephone,5,2,259,1,0,nonexistent,0
48,technician,married,4.0,no,yes,telephone,5,2,340,1,0,nonexistent,0
38,blue-collar,single,6.0,no,no,telephone,5,2,392,1,0,nonexistent,0
44,technician,married,5.0,yes,no,telephone,5,2,245,1,0,nonexistent,0
36,blue-collar,married,3.0,no,yes,telephone,5,2,136,1,0,nonexistent,0
44,blue-collar,divorced,1.0,yes,no,telephone,5,2,148,1,0,nonexistent,0
50,self-employed,married,6.0,yes,yes,telephone,5,2,137,1,0,nonexistent,0
38,blue-collar,single,6.0,no,no,telephone,5,2,456,1,0,nonexistent,0
41,technician,married,5.0,yes,no,telephone,5,2,107,1,0,nonexistent,0
45,blue-collar,married,1.0,no,no,telephone,5,2,44,1,0,nonexistent,0
53,admin.,married,6.0,yes,no,telephone,5,2,118,1,0,nonexistent,0
36,entrepreneur,married,6.0,yes,no,telephone,5,2,135,1,0,nonexistent,0
45,services,married,4.0,yes,no,telephone,5,2,276,1,0,nonexistent,0
34,services,married,3.0,yes,no,telephone,5,2,150,2,0,nonexistent,0
37,blue-collar,married,5.0,no,yes,telephone,5,2,118,1,0,nonexistent,0
25,technician,single,6.0,yes,no,telephone,5,2,38,1,0,nonexistent,0
35,admin.,divorced,6.0,no,yes,telephone,5,2,232,3,0,nonexistent,0
34,admin.,married,6.0,no,no,telephone,5,2,1167,1,0,nonexistent,0
32,,married,2.0,no,no,telephone,5,2,39,2,0,nonexistent,0
32,admin.,divorced,4.0,no,no,telephone,5,2,325,1,0,nonexistent,0
39,self-employed,single,6.0,no,no,telephone,5,2,311,1,0,nonexistent,0
36,admin.,married,4.0,no,yes,telephone,5,2,147,1,0,nonexistent,0
46,entrepreneur,married,6.0,yes,no,telephone,5,2,125,1,0,nonexistent,0
56,entrepreneur,married,6.0,no,no,telephone,5,2,98,1,0,nonexistent,0
37,technician,single,3.0,no,yes,telephone,5,2,93,1,0,nonexistent,0
37,technician,single,3.0,no,no,telephone,5,2,83,1,0,nonexistent,0
39,blue-collar,married,4.0,yes,no,telephone,5,2,67,1,0,nonexistent,0
52,services,married,4.160934688394962,no,no,telephone,5,2,77,1,0,nonexistent,0
39,services,married,4.160934688394962,no,no,telephone,5,2,191,1,0,nonexistent,0
52,services,married,4.160934688394962,no,no,telephone,5,2,144,1,0,nonexistent,0
51,technician,married,5.0,no,no,telephone,5,2,20,1,0,nonexistent,0
42,technician,single,4.160934688394962,no,no,telephone,5,2,27,1,0,nonexistent,0
34,technician,married,4.0,no,yes,telephone,5,2,174,4,0,nonexistent,0
28,blue-collar,married,3.0,yes,no,telephone,5,2,260,3,0,nonexistent,0
43,self-employed,single,5.0,yes,yes,telephone,5,2,94,1,0,nonexistent,0
41,technician,single,5.0,yes,no,telephone,5,2,122,1,0,nonexistent,0
54,technician,married,5.0,no,yes,telephone,5,2,334,1,0,nonexistent,0
53,blue-collar,married,3.0,yes,no,telephone,5,2,609,2,0,nonexistent,0
47,admin.,married,6.0,no,no,telephone,5,2,202,1,0,nonexistent,0
47,admin.,married,6.0,no,no,telephone,5,2,262,1,0,nonexistent,0
39,blue-collar,married,3.0,no,no,telephone,5,2,302,1,0,nonexistent,0
37,services,married,4.0,no,no,telephone,5,2,121,2,0,nonexistent,0
40,technician,married,5.0,no,no,telephone,5,2,202,3,0,nonexistent,0
35,services,divorced,5.0,no,no,telephone,5,2,806,1,0,nonexistent,0
56,admin.,divorced,4.160934688394962,yes,yes,telephone,5,2,31,1,0,nonexistent,0
36,admin.,married,4.0,no,no,telephone,5,2,21,1,0,nonexistent,0
45,blue-collar,married,1.0,yes,no,telephone,5,2,334,2,0,nonexistent,0
38,technician,single,6.0,yes,yes,telephone,5,2,156,1,0,nonexistent,0
41,technician,married,5.0,no,no,telephone,5,2,92,1,0,nonexistent,0
37,blue-collar,married,5.0,no,no,telephone,5,2,128,2,0,nonexistent,0
45,admin.,single,6.0,no,yes,telephone,5,2,766,1,0,nonexistent,0
48,services,married,4.0,no,no,telephone,5,2,162,1,0,nonexistent,0
29,admin.,single,3.0,no,no,telephone,5,2,255,5,0,nonexistent,0
38,technician,single,6.0,no,no,telephone,5,2,137,1,0,nonexistent,0
48,services,married,4.0,yes,no,telephone,5,2,189,1,0,nonexistent,0
40,blue-collar,married,4.0,no,no,telephone,5,2,110,1,0,nonexistent,0
38,blue-collar,single,6.0,yes,no,telephone,5,2,395,2,0,nonexistent,1
42,blue-collar,married,1.0,no,no,telephone,5,2,135,1,0,nonexistent,0
32,blue-collar,married,3.0,no,no,telephone,5,2,102,4,0,nonexistent,0
56,admin.,married,4.160934688394962,yes,no,telephone,5,2,705,1,0,nonexistent,0
54,services,married,4.160934688394962,no,no,telephone,5,2,192,1,0,nonexistent,0
60,retired,married,1.0,no,no,telephone,5,2,188,2,0,nonexistent,0
47,admin.,married,4.0,yes,no,telephone,5,2,139,1,0,nonexistent,0
46,blue-collar,married,4.160934688394962,no,no,telephone,5,2,131,1,0,nonexistent,0
42,admin.,single,4.0,no,no,telephone,5,2,65,1,0,nonexistent,0
55,blue-collar,married,1.0,yes,yes,telephone,5,2,266,2,0,nonexistent,0
37,services,married,4.0,yes,no,telephone,5,2,76,1,0,nonexistent,0
38,technician,single,6.0,no,no,telephone,5,2,1015,1,0,nonexistent,1
45,technician,married,6.0,yes,no,telephone,5,2,122,1,0,nonexistent,0
32,blue-collar,married,2.0,no,yes,telephone,5,2,60,1,0,nonexistent,0
37,blue-collar,married,5.0,yes,yes,telephone,5,2,111,3,0,nonexistent,0
30,technician,married,6.0,yes,no,telephone,5,2,683,2,0,nonexistent,1
36,blue-collar,married,4.0,no,yes,telephone,5,2,100,1,0,nonexistent,0
48,admin.,married,4.0,no,no,telephone,5,2,82,1,0,nonexistent,0
51,admin.,single,2.0,no,no,telephone,5,2,470,1,0,nonexistent,1
46,housemaid,married,1.0,no,yes,telephone,5,2,149,1,0,nonexistent,0
48,blue-collar,divorced,1.0,no,no,telephone,5,2,106,1,0,nonexistent,0
47,services,married,4.0,no,no,telephone,5,2,127,2,0,nonexistent,0
41,blue-collar,married,1.0,yes,no,telephone,5,2,320,1,0,nonexistent,0
53,retired,single,5.0,yes,no,telephone,5,2,145,1,0,nonexistent,0
55,retired,married,1.0,yes,no,telephone,5,2,129,1,0,nonexistent,0
44,management,married,6.0,no,no,telephone,5,2,730,1,0,nonexistent,0
48,blue-collar,married,1.0,yes,no,telephone,5,2,36,1,0,nonexistent,0
50,services,married,4.160934688394962,no,no,telephone,5,2,521,1,0,nonexistent,0
34,blue-collar,married,3.0,no,no,telephone,5,2,95,3,0,nonexistent,0
38,entrepreneur,married,3.0,no,no,telephone,5,2,120,1,0,nonexistent,0
42,unemployed,single,6.0,no,no,telephone,5,2,349,1,0,nonexistent,0
57,retired,married,6.0,yes,no,telephone,5,2,768,1,0,nonexistent,0
58,blue-collar,divorced,1.0,yes,no,telephone,5,2,277,1,0,nonexistent,0
48,management,married,6.0,yes,no,telephone,5,2,289,1,0,nonexistent,0
32,admin.,divorced,4.0,no,no,telephone,5,2,473,1,0,nonexistent,0
35,admin.,single,6.0,no,no,telephone,5,2,133,1,0,nonexistent,0
55,retired,married,2.0,no,no,telephone,5,2,129,1,0,nonexistent,0
47,blue-collar,married,1.0,yes,yes,telephone,5,2,386,2,0,nonexistent,0
31,services,married,2.0,no,no,telephone,5,2,1001,4,0,nonexistent,1
38,technician,married,5.0,yes,no,telephone,5,2,76,1,0,nonexistent,0
49,self-employed,married,5.0,yes,no,telephone,5,2,214,1,0,nonexistent,0
33,self-employed,divorced,3.0,yes,no,telephone,5,2,355,1,0,nonexistent,0
27,admin.,single,6.0,yes,yes,telephone,5,2,194,2,0,nonexistent,0
45,technician,married,6.0,yes,yes,telephone,5,2,845,1,0,nonexistent,1
34,management,divorced,6.0,yes,no,telephone,5,2,208,1,0,nonexistent,0
38,blue-collar,married,1.0,yes,no,telephone,5,2,173,1,0,nonexistent,0
45,technician,single,5.0,no,no,telephone,5,2,113,2,0,nonexistent,0
28,admin.,single,4.160934688394962,no,no,telephone,5,2,109,2,0,nonexistent,0
54,blue-collar,married,1.0,no,no,telephone,5,2,853,1,0,nonexistent,0
58,retired,married,5.0,no,yes,telephone,5,2,518,1,0,nonexistent,0
48,blue-collar,married,4.160934688394962,no,no,telephone,5,2,124,2,0,nonexistent,0
57,admin.,divorced,3.0,no,no,telephone,5,2,452,2,0,nonexistent,0
28,admin.,married,6.0,,,telephone,5,2,203,2,0,nonexistent,0
49,blue-collar,married,3.0,no,no,telephone,5,2,813,2,0,nonexistent,0
60,retired,married,6.0,,,telephone,5,2,81,1,0,nonexistent,0
39,services,divorced,3.0,no,no,telephone,5,2,93,1,0,nonexistent,0
40,self-employed,married,5.0,no,no,telephone,5,2,119,1,0,nonexistent,0
